Papel;Cotação;P/L;P/VP;PSR;Div.Yield;P/Ativo;P/Cap.Giro;P/EBIT;P/Ativ Circ.Liq;EV/EBIT;EV/EBITDA;Mrg Bruta;Mrg Ebit;Mrg. Líq.;Liq. Corr.;ROIC;ROE;Liq.2meses;Patrim. Líq;Dív.Líq/ Patrim.;Cresc. Rec.5a
PALF11;125.0;0.06;0.03;0.007;0,00%;0.005;-0.09;0.03;-0.01;2.59;2.59;27,54%;21,67%;11,37%;0.82;17,03%;48,56%;0.0;3839610000.0;2.37;1,89%
BPHA3;0.62;0.06;-0.24;-20.054;0,00%;0.995;-0.38;0.78;-0.2;1.6;1.43;-779,26%;-2.581,69%;-33.652,50%;0.06;401,01%;-402,50%;0.0;-292294000.0;-0.25;-53,39%
SULT4;0.43;0.06;0.01;0.027;0,00%;0.002;-0.01;-18.88;0.0;-26.46;-690.36;7,97%;-0,14%;46,78%;0.29;-0,01%;14,22%;0.0;637959000.0;0.00;15,71%
IGBR5;18.9;0.06;-0.04;3.248;0,00%;0.111;-0.11;-0.4;-0.03;-4.55;-4.76;100,00%;-817,12%;5.379,32%;0.33;-57,99%;-60,10%;0.0;-650957000.0;-0.38;13,97%
IGBR6;19.0;0.06;-0.04;3.266;0,00%;0.112;-0.11;-0.4;-0.03;-4.55;-4.76;100,00%;-817,12%;5.379,32%;0.33;-57,99%;-60,10%;0.0;-650957000.0;-0.38;13,97%
NEXP3;2.76;0.07;-0.07;11.122;0,00%;0.673;-0.08;-0.49;-0.07;-0.48;-0.54;98,63%;-2.285,28%;16.320,20%;0.03;-190,42%;-104,56%;10453.6;-103034000.0;0.00;-66,09%
LREN4;105.0;0.07;0.01;0.007;0,00%;0.005;0.02;0.03;0.04;-0.39;-0.29;61,71%;22,90%;9,21%;1.69;22,79%;13,94%;0.0;10456300000.0;-0.15;9,33%
SULT3;0.56;0.08;0.01;0.035;0,00%;0.003;-0.02;-24.59;0.0;-32.17;-839.27;7,97%;-0,14%;46,78%;0.29;-0,01%;14,22%;0.0;637959000.0;0.00;15,71%
CREM4;48.0;0.11;0.01;0.002;0,00%;0.002;0.02;0.03;-0.02;3.55;2.09;30,30%;8,05%;2,10%;1.29;11,36%;7,50%;0.0;189701000.0;1.01;-0,27%
PALF5;236.6;0.11;0.05;0.013;0,00%;0.009;-0.18;0.06;-0.02;2.62;2.62;27,54%;21,67%;11,37%;0.82;17,03%;48,56%;0.0;3839610000.0;2.37;1,89%
ESTR3;3.01;0.13;-0.12;0.156;0,00%;0.062;-0.07;-1.79;-0.06;-12.04;-13.74;37,18%;-8,70%;123,04%;0.33;-3,88%;-96,95%;14.33;-198430000.0;-0.70;-4,71%
PALF3;279.9;0.13;0.06;0.015;0,00%;0.011;-0.21;0.07;-0.02;2.63;2.63;27,54%;21,67%;11,37%;0.82;17,03%;48,56%;0.0;3839610000.0;2.37;1,89%
TPRC6;105.0;0.13;0.01;0.015;0,00%;0.006;0.12;0.08;-0.03;0.0;0.0;56,52%;19,44%;11,11%;1.34;9,67%;8,33%;0.0;22847800000.0;-0.01;2,29%
TPRC3;113.5;0.14;0.01;0.016;0,00%;0.007;0.13;0.08;-0.03;0.01;0.0;56,52%;19,44%;11,11%;1.34;9,67%;8,33%;0.0;22847800000.0;-0.01;2,29%
ESTR4;4.51;0.19;-0.18;0.233;0,00%;0.093;-0.11;-2.68;-0.09;-12.93;-14.76;37,18%;-8,70%;123,04%;0.33;-3,88%;-96,95%;87.33;-198430000.0;-0.70;-4,71%
SLED4;1.6;0.22;-0.04;0.207;0,00%;0.239;-0.1;-0.22;-0.04;-0.74;-0.9;47,85%;-93,81%;92,72%;0.12;-2.259,94%;-18,07%;0.0;-381277000.0;-0.09;-48,69%
GSHP3;2.9;0.25;0.0;0.029;0,00%;0.005;-0.05;0.09;0.0;33.52;32.1;67,57%;33,79%;11,66%;0.59;6,66%;-1,47%;471.14;-1511750000.0;-1.42;9,53%
CORR4;82.0;0.27;0.41;5.701;0,00%;0.118;0.2;-0.54;2.84;2.87;2.91;100,00%;-1.057,66%;2.141,14%;4.25;-85,44%;152,84%;0.0;4665000.0;-2.58;-42,09%
ASSM4;6.1;0.29;-0.15;-8.357;0,00%;0.133;-0.2;0.4;-0.08;1.88;1.88;-1.091,33%;-2.084,39%;-2.915,61%;0.21;35,38%;-50,73%;0.0;-9943000.0;-0.54;-8,79%
GAZO4;2.32;0.31;-0.03;-1.411;0,00%;0.205;-0.46;0.86;-0.03;1.03;1.03;-105,07%;-164,00%;-454,48%;0.35;25,06%;-10,61%;0.0;-102667000.0;-0.01;-28,21%
ASSM3;7.12;0.33;-0.17;-9.754;0,00%;0.155;-0.23;0.47;-0.09;1.95;1.95;-1.091,33%;-2.084,39%;-2.915,61%;0.21;35,38%;-50,73%;0.0;-9943000.0;-0.54;-8,79%
BELG4;1370.0;0.36;0.07;0.062;0,00%;0.044;0.29;0.23;2.59;0.4;0.4;34,62%;27,70%;19,46%;1.97;22,04%;18,59%;0.0;13495400000.0;0.05;48,47%
BELG3;1375.5;0.36;0.07;0.063;0,00%;0.044;0.29;0.23;2.6;0.41;0.41;34,62%;27,70%;19,46%;1.97;22,04%;18,59%;0.0;13495400000.0;0.05;48,47%
AGEN33;0.16;0.39;-0.03;0.0;0,00%;0.066;-0.17;0.11;-0.02;3.73;3.61;0,00%;0,00%;0,00%;0.09;87,67%;-8,85%;0.0;-1112630000.0;-1.10;-87,03%
RSID3;1.75;0.42;-0.05;0.242;0,00%;0.077;-0.39;-1.21;-0.03;-13.4;-13.47;17,73%;-20,11%;58,75%;0.67;-7,01%;-11,27%;8865.69;-756841000.0;-0.47;-4,72%
TRPN3;0.71;0.44;0.54;0.263;104,74%;0.399;0.59;0.36;0.59;-0.35;-0.35;100,00%;72,28%;59,29%;3.61;523,01%;122,35%;0.0;59358000.0;-1.07;5,77%
SLED3;3.21;0.45;-0.08;0.416;0,00%;0.48;-0.2;-0.44;-0.07;-0.96;-1.18;47,85%;-93,81%;92,72%;0.12;-2.259,94%;-18,07%;0.0;-381277000.0;-0.09;-48,69%
GAZO3;3.4;0.45;-0.05;-2.068;0,00%;0.301;-0.67;1.26;-0.04;1.43;1.43;-105,07%;-164,00%;-454,48%;0.35;25,06%;-10,61%;0.0;-102667000.0;-0.01;-28,21%
FCAP3;0.62;0.52;0.11;0.0;0,00%;0.089;0.0;-6.18;0.0;-15.27;-15.27;0,00%;0,00%;0,00%;0.0;0,00%;21,83%;0.0;107134000.0;0.17;0,00%
MNPR3;3.91;0.54;1.46;0.636;3,32%;0.64;1.76;3.95;-9246.4;2.19;1.9;27,28%;16,11%;118,29%;2.83;24,31%;269,41%;77754.4;189537000.0;-0.65;6,10%
IGBR3;175.99;0.56;-0.34;30.247;0,00%;1.035;-0.99;-3.7;-0.29;-7.85;-8.21;100,00%;-817,12%;5.379,32%;0.33;-57,99%;-60,10%;10393.3;-650957000.0;-0.38;13,97%
FCAP4;0.7;0.58;0.13;0.0;0,00%;0.1;0.0;-6.98;0.0;-16.07;-16.07;0,00%;0,00%;0,00%;0.0;0,00%;21,83%;0.0;107134000.0;0.17;0,00%
SUZA4;13.9;0.6;0.2;0.048;0,00%;0.014;0.08;0.24;-0.03;7.12;3.36;32,38%;20,20%;26,83%;3.19;7,35%;34,02%;0.0;11728100000.0;5.94;10,51%
MNPR4;4.63;0.64;1.73;0.753;0,00%;0.757;2.08;4.68;-10949.1;2.92;2.53;27,28%;16,11%;118,29%;2.83;24,31%;269,41%;0.0;189537000.0;-0.65;6,10%
MGEL4;6.03;0.73;0.74;0.033;0,00%;0.048;-0.1;0.44;-0.09;6.67;5.24;12,72%;7,49%;4,52%;0.46;13,01%;102,24%;63768.9;46969000.0;10.57;3,54%
RVEE3;0.95;0.8;0.07;8.521;0,00%;0.057;0.18;-0.64;0.29;0.43;0.46;-421,08%;-1.336,07%;1.061,90%;4.15;-9,89%;9,12%;2371.1;132042000.0;-0.12;0,00%
TARP11;18.02;0.82;0.25;26.009;0,00%;0.245;0.0;197.74;0.0;195.29;195.29;100,00%;13,15%;3.170,05%;0.0;0,00%;29,89%;0.0;678212000.0;0.00;-71,36%
TRAD3;1.85;0.85;0.66;3.315;0,00%;0.515;1.26;-1.22;1.33;-1.07;-1.24;11,40%;-272,17%;388,05%;8.24;-45,18%;76,90%;28205.5;112748000.0;-0.08;-29,18%
BNBR4;27.01;0.86;0.17;0.0;0,00%;0.0;0.0;0.0;0.0;0.0;0.0;0,00%;0,00%;0,00%;0.0;0,00%;19,19%;0.0;16066200000.0;0.00;10,59%
TSPP4;9.05;1.24;0.37;0.188;0,00%;0.162;-4.02;0.85;-0.65;1.3;1.3;54,05%;22,01%;15,20%;0.89;23,92%;29,88%;0.0;9816290000.0;0.19;13,06%
EBEN4;17.51;1.55;0.67;0.106;0,00%;0.075;-0.83;0.54;-0.13;4.05;3.31;25,03%;19,61%;6,84%;0.76;16,01%;43,01%;0.0;1026600000.0;4.33;1,06%
TSPP3;12.6;1.72;0.51;0.262;0,00%;0.225;-5.59;1.19;-0.91;1.63;1.63;54,05%;22,01%;15,20%;0.89;23,92%;29,88%;0.0;9816290000.0;0.19;13,06%
ALLD3;6.25;1.8;0.39;0.109;48,27%;0.178;0.58;4.45;1.13;4.75;3.5;11,45%;2,45%;6,04%;1.8;7,22%;21,44%;3413820.0;1551770000.0;0.03;-0,09%
CPFG4;12.26;1.84;0.68;0.681;0,00%;0.367;27.99;1.11;-1.69;1.22;1.02;66,96%;61,57%;51,00%;1.14;35,56%;37,16%;0.0;3268670000.0;0.07;-2,47%
PLIM4;0.59;1.89;0.03;0.02;0,00%;0.016;-0.51;0.17;-0.05;1.5;0.65;33,54%;11,93%;1,55%;0.8;10,95%;1,72%;0.0;6812390000.0;0.26;66,63%
CPFG3;12.65;1.89;0.7;0.703;0,00%;0.378;28.88;1.14;-1.74;1.25;1.04;66,96%;61,57%;51,00%;1.14;35,56%;37,16%;0.0;3268670000.0;0.07;-2,47%
SUZB6;17.88;1.99;0.47;0.456;0,00%;0.136;0.75;2.39;-0.3;9.62;4.32;31,42%;19,09%;23,02%;3.51;6,83%;23,68%;0.0;48036000000.0;1.42;3,06%
CLSC5;39.01;2.06;0.38;0.126;0,00%;0.109;1.68;1.31;-0.25;5.3;3.98;16,74%;9,65%;6,13%;1.3;9,26%;18,38%;0.0;3968460000.0;1.16;1,53%
MMAQ3;2550.01;2.3;0.36;0.075;0,00%;0.159;0.61;-6.08;0.72;-8.42;-24.92;8,76%;-1,24%;3,28%;1.5;-4,15%;15,71%;0.0;261617000.0;0.14;16,72%
MMAQ4;2550.01;2.3;0.36;0.075;41,68%;0.159;0.61;-6.08;0.72;-8.42;-24.92;8,76%;-1,24%;3,28%;1.5;-4,15%;15,71%;0.0;261617000.0;0.14;16,72%
SUZB5;21.13;2.35;0.56;0.539;0,00%;0.161;0.88;2.83;-0.35;10.06;4.52;31,42%;19,09%;23,02%;3.51;6,83%;23,68%;0.0;48036000000.0;1.42;3,06%
CTPC4;6.5;2.48;0.03;0.0;0,00%;0.003;0.0;-0.55;0.0;-2.44;-2.44;0,00%;0,00%;0,00%;0.0;0,00%;1,41%;0.0;2411000.0;0.12;-6,10%
BSLI3;3.76;2.62;0.46;0.0;7,74%;0.0;0.0;0.0;0.0;0.0;0.0;0,00%;0,00%;0,00%;0.0;0,00%;17,52%;249606.0;3984960000.0;0.00;17,64%
SOND3;38.66;2.66;1.4;0.42;22,14%;0.721;3.38;1.81;6.24;1.08;0.98;37,94%;23,20%;15,78%;1.55;58,95%;52,81%;0.0;67669000.0;-0.56;26,63%
BSLI4;3.91;2.72;0.48;0.0;8,19%;0.0;0.0;0.0;0.0;0.0;0.0;0,00%;0,00%;0,00%;0.0;0,00%;17,52%;157475.0;3984960000.0;0.00;17,64%
STBP11;14.4;2.86;2.32;0.686;0,00%;0.421;15.61;1.5;-0.68;2.69;2.27;58,88%;45,81%;24,03%;1.15;33,17%;81,19%;0.0;1073640000.0;1.84;23,72%
JBSS3;39.03;2.98;0.72;0.071;6,55%;0.137;0.89;1.47;-0.36;5.38;3.45;13,12%;4,79%;2,61%;1.6;12,70%;24,17%;0.0;47087200000.0;1.91;7,64%
MGEL3;25.0;3.01;3.08;0.136;0,00%;0.2;-0.41;1.82;-0.38;8.05;6.32;12,72%;7,49%;4,52%;0.46;13,01%;102,24%;0.0;46969000.0;10.57;3,54%
MARI3;2.93;3.04;0.76;0.346;0,00%;0.384;0.95;4.99;1.65;4.89;4.89;49,79%;6,94%;11,37%;2.23;10,67%;25,13%;0.0;706711000.0;-0.01;11,89%
BMKS3;397.5;3.06;0.95;12.472;30,19%;0.785;1.14;-8.72;1.3;-1.04;-1.05;28,87%;-142,96%;407,40%;8.97;-30,75%;31,03%;34442.8;190263000.0;-0.84;-5,81%
HETA4;5.78;3.13;-0.01;0.624;0,00%;0.234;-1.39;0.69;-0.01;76.81;76.81;100,00%;90,30%;19,97%;0.61;33,94%;-0,27%;210.26;-349886000.0;-0.93;16,18%
CSRN3;13.6;3.15;1.25;0.525;0,00%;0.301;2.25;2.0;-0.68;4.72;4.0;30,69%;26,18%;16,67%;1.75;18,50%;39,74%;0.0;1817000000.0;1.69;3,60%
RIAA3;9.59;3.26;0.9;0.459;33,11%;0.324;1.33;4.58;9.49;4.73;2.75;60,81%;10,01%;14,05%;1.56;9,26%;27,56%;18229000.0;5352710000.0;0.03;9,18%
EALT4;13.24;3.27;0.84;0.536;3,59%;0.465;4.06;10.57;-6.92;13.3;7.37;20,10%;5,07%;16,37%;1.43;4,88%;25,59%;232925.0;355837000.0;0.22;9,02%
MTBR3;0.99;3.32;0.81;0.118;0,00%;0.143;-2.47;1.16;-1.05;0.82;0.69;18,88%;10,24%;3,59%;0.92;36,25%;24,53%;0.0;1828770000.0;-0.24;3,85%
EALT3;13.72;3.39;0.87;0.555;3,15%;0.482;4.21;10.95;-7.17;13.69;7.58;20,10%;5,07%;16,37%;1.43;4,88%;25,59%;11817.3;355837000.0;0.22;9,02%
CSRN5;15.1;3.5;1.39;0.583;0,00%;0.335;2.5;2.23;-0.75;4.94;4.18;30,69%;26,18%;16,67%;1.75;18,50%;39,74%;0.0;1817000000.0;1.69;3,60%
MTBR4;1.05;3.52;0.86;0.126;0,00%;0.152;-2.62;1.23;-1.11;0.89;0.75;18,88%;10,24%;3,59%;0.92;36,25%;24,53%;0.0;1828770000.0;-0.24;3,85%
CTKA4;40.49;3.56;3.31;0.331;0,00%;0.341;1.03;2.99;-1.49;7.08;5.62;45,33%;11,06%;9,29%;1.98;14,65%;92,80%;44255.0;76010000.0;4.52;8,09%
CSRN6;15.5;3.59;1.43;0.598;0,00%;0.343;2.57;2.28;-0.77;5.0;4.23;30,69%;26,18%;16,67%;1.75;18,50%;39,74%;0.0;1817000000.0;1.69;3,60%
ESCE3;172.0;3.61;0.62;0.173;0,00%;0.11;-1.07;1.08;-0.19;5.09;3.9;20,90%;15,99%;4,79%;0.69;11,67%;17,02%;0.0;1643280000.0;2.28;3,02%
PTPA3;76.5;3.69;1.14;0.505;0,00%;0.375;2.28;3.63;-1.27;7.06;5.33;23,59%;13,93%;13,69%;1.79;13,27%;30,85%;0.0;1201690000.0;1.08;18,08%
ELPL4;15.98;3.8;0.42;0.138;0,00%;0.099;-1.5;1.17;-0.19;5.49;3.89;18,11%;11,76%;3,62%;0.78;9,68%;10,99%;0.0;7563130000.0;1.54;2,76%
BNBR3;120.0;3.84;0.74;0.0;5,85%;0.0;0.0;0.0;0.0;0.0;0.0;0,00%;0,00%;0,00%;0.0;0,00%;19,19%;27701.2;16066200000.0;0.00;10,59%
PTPA4;80.0;3.86;1.19;0.528;0,00%;0.392;2.38;3.79;-1.33;7.23;5.45;23,59%;13,93%;13,69%;1.79;13,27%;30,85%;0.0;1201690000.0;1.08;18,08%
CAMB4;6.25;3.86;0.86;0.69;0,00%;0.708;1.93;4.18;2.23;3.14;2.58;48,89%;16,50%;17,85%;3.81;21,80%;22,38%;0.0;305569000.0;-0.21;9,73%
APTI4;3500.0;3.93;0.27;1.468;0,00%;0.132;0.37;4.15;-2.62;1.6;1.5;100,00%;35,41%;37,39%;4.51;4,04%;6,87%;0.0;246657000.0;-0.17;12,51%
BRSR6;15.62;3.98;0.57;0.0;10,26%;0.0;0.0;0.0;0.0;0.0;0.0;0,00%;0,00%;0,00%;0.0;0,00%;14,36%;35801400.0;11175000000.0;0.00;8,09%
VINE3;17.2;4.04;0.65;0.577;0,00%;0.34;1.38;4.52;7.6;7.4;5.54;30,80%;12,76%;14,42%;1.91;8,62%;16,14%;0.0;1118520000.0;0.42;2,21%
DAYC4;8.9;4.12;0.71;0.0;0,00%;0.0;0.0;0.0;0.0;0.0;0.0;0,00%;0,00%;0,00%;0.0;0,00%;17,33%;0.0;3009030000.0;0.00;8,15%
CTKA3;46.95;4.13;3.83;0.384;0,00%;0.395;1.2;3.47;-1.73;7.56;6.0;45,33%;11,06%;9,29%;1.98;14,65%;92,80%;875.86;76010000.0;4.52;8,09%
VINE5;17.64;4.14;0.67;0.592;0,00%;0.349;1.41;4.64;7.8;7.52;5.63;30,80%;12,76%;14,42%;1.91;8,62%;16,14%;0.0;1118520000.0;0.42;2,21%
HOOT4;7.05;4.23;-4.35;0.671;0,00%;0.245;-6.81;2.42;-0.27;1.58;1.31;65,73%;27,73%;15,85%;0.85;11,32%;-102,67%;39335.7;-29800000.0;1.51;39,74%
CPFP4;44.0;4.26;3.6;0.389;0,00%;0.284;96.49;2.0;-0.42;4.63;4.04;25,22%;19,39%;9,12%;1.01;16,36%;84,38%;0.0;649772000.0;4.72;3,54%
BAZA3;84.48;4.28;0.66;0.0;0,00%;0.0;0.0;0.0;0.0;0.0;0.0;0,00%;0,00%;0,00%;0.0;0,00%;15,44%;370738.0;7161400000.0;0.00;-9,84%
VULC3;15.78;4.31;2.07;1.409;27,74%;1.294;3.04;8.22;5.41;9.49;7.81;41,04%;17,14%;32,73%;3.27;17,02%;48,01%;27255300.0;2427000000.0;0.32;15,89%
HBTS5;35.5;4.35;0.51;4.828;20,33%;0.197;-4.73;-4.56;-0.36;-7.03;-7.29;38,16%;-105,77%;111,01%;0.62;-4,37%;11,65%;342.81;640081000.0;0.27;-32,47%
BRSR5;17.54;4.47;0.64;0.0;10,83%;0.0;0.0;0.0;0.0;0.0;0.0;0,00%;0,00%;0,00%;0.0;0,00%;14,36%;836.17;11175000000.0;0.00;8,09%
CEPE5;40.12;4.49;1.12;0.329;0,00%;0.185;6.48;1.93;-0.33;7.33;5.6;21,38%;17,06%;7,33%;1.12;10,97%;24,94%;0.0;2674000000.0;3.13;0,97%
JHSF3;12.55;4.53;1.27;2.466;4,71%;0.462;2.47;5.27;-2.52;5.6;5.38;63,44%;46,84%;53,71%;1.76;12,29%;28,10%;56770600.0;6738750000.0;0.08;9,77%
BRSR3;17.85;4.55;0.65;0.0;8,98%;0.0;0.0;0.0;0.0;0.0;0.0;0,00%;0,00%;0,00%;0.0;0,00%;14,36%;124280.0;11175000000.0;0.00;8,09%
BEEF3;3.8;4.69;2.9;0.069;5,15%;0.083;0.52;1.01;-0.25;4.42;3.51;17,35%;6,84%;1,55%;1.34;17,90%;61,86%;75410600.0;1310210000.0;9.74;16,35%
TBLE6;10.65;4.71;0.95;0.946;0,00%;0.22;16.16;2.22;-0.35;6.83;5.45;46,71%;42,67%;22,22%;1.12;10,76%;20,25%;0.0;12757700000.0;1.98;-0,09%
VCPA4;26.01;4.72;1.02;0.789;0,00%;0.353;3.76;2.01;-1.0;4.05;2.99;45,77%;39,18%;16,75%;1.46;22,95%;21,57%;0.0;14149000000.0;1.03;22,71%
CEPE6;43.0;4.81;1.2;0.353;0,00%;0.198;6.94;2.07;-0.35;7.47;5.71;21,38%;17,06%;7,33%;1.12;10,97%;24,94%;0.0;2674000000.0;3.13;0,97%
CYRE4;21.34;4.86;0.95;1.034;0,00%;0.373;0.89;6.07;42.93;9.01;8.4;32,58%;17,05%;17,17%;3.84;7,35%;19,62%;20825600.0;10227300000.0;0.46;19,00%
SUZB3;43.84;4.87;1.15;1.119;0,01%;0.334;1.83;5.86;-0.73;13.1;5.88;31,42%;19,09%;23,02%;3.51;6,83%;23,68%;365373000.0;48036000000.0;1.42;3,06%
SOND5;71.0;4.88;2.58;0.771;13,26%;1.324;6.21;3.32;11.45;2.59;2.34;37,94%;23,20%;15,78%;1.55;58,95%;52,81%;7807.76;67669000.0;-0.56;26,63%
AZZA3;21.62;4.9;0.56;0.378;11,45%;0.289;1.41;4.17;-8.17;6.18;3.74;54,96%;9,06%;7,71%;1.84;8,44%;11,42%;98684000.0;7977300000.0;0.27;41,57%
VULC4;18.0;4.91;2.36;1.608;0,00%;1.476;3.47;9.38;6.17;10.65;8.77;41,04%;17,14%;32,73%;3.27;17,02%;48,01%;0.0;2427000000.0;0.32;15,89%
ETER3;3.9;4.92;0.29;0.209;4,38%;0.177;1.26;9.48;-16.53;13.88;4.64;20,61%;2,21%;4,26%;1.6;2,03%;5,81%;593907.0;842543000.0;0.13;0,26%
FIGE3;33.0;5.11;0.42;0.0;0,00%;0.0;0.0;0.0;0.0;0.0;0.0;0,00%;0,00%;0,00%;0.0;0,00%;8,18%;188.5;186727000.0;0.00;48,02%
SOND6;76.0;5.23;2.76;0.825;12,39%;1.417;6.65;3.56;12.26;2.83;2.55;37,94%;23,20%;15,78%;1.55;58,95%;52,81%;4976.26;67669000.0;-0.56;26,63%
AHEB3;24.0;5.23;0.72;0.36;0,00%;0.357;1.46;7.16;-3.26;4.82;4.18;13,58%;5,02%;6,88%;2.61;5,90%;13,81%;2935.98;284013000.0;-0.24;38,45%
BGIP4;36.8;5.24;0.87;0.0;9,92%;0.0;0.0;0.0;0.0;0.0;0.0;0,00%;0,00%;0,00%;0.0;0,00%;16,64%;84862.2;910539000.0;0.00;8,80%
EVEN3;6.23;5.24;0.66;0.649;12,28%;0.239;0.41;4.74;1.54;6.69;6.59;27,11%;13,70%;15,57%;4.79;6,29%;12,64%;5387050.0;1880420000.0;0.27;-4,03%
TBLE5;12.0;5.31;1.07;1.066;0,00%;0.248;18.2;2.5;-0.4;7.11;5.67;46,71%;42,67%;22,22%;1.12;10,76%;20,25%;0.0;12757700000.0;1.98;-0,09%
CYRE3;23.49;5.35;1.05;1.139;9,77%;0.411;0.98;6.68;47.25;9.63;8.97;32,58%;17,05%;17,17%;3.84;7,35%;19,62%;181783000.0;10227300000.0;0.46;19,00%
VTRU3;13.6;5.43;0.69;0.89;0,00%;0.33;3.22;2.46;-0.99;4.43;3.47;65,64%;36,14%;16,37%;2.23;15,67%;12,64%;13279800.0;2925770000.0;0.55;18,60%
GMAT3;4.34;5.45;0.96;0.26;4,25%;0.411;1.83;4.62;-76.52;5.11;4.09;22,40%;5,63%;4,83%;1.75;11,93%;17,65%;64083600.0;10384000000.0;0.10;24,06%
EMAE4;46.84;5.47;1.12;2.789;0,00%;0.708;2.27;14.14;-98.01;10.09;8.75;51,09%;19,72%;51,01%;7.69;6,31%;20,41%;500166.0;1550460000.0;-0.32;6,03%
CALI3;21.0;5.52;0.79;0.401;4,30%;0.182;0.36;3.85;6.04;7.64;7.18;27,16%;10,43%;12,55%;3.78;6,39%;14,39%;2411.26;184775000.0;0.78;28,87%
BPIA3;6.1;5.64;1.06;0.0;0,00%;0.0;0.0;0.0;0.0;0.0;0.0;0,00%;0,00%;0,00%;0.0;0,00%;18,84%;0.0;77395000.0;0.00;13,41%
DSUL3;7.95;5.65;0.97;0.879;0,00%;0.721;1.93;2.37;2.7;1.27;1.27;56,85%;37,13%;16,02%;3.5;48,91%;17,25%;0.0;236447000.0;-0.45;36,69%
COCE5;33.08;5.65;0.51;0.297;4,48%;0.171;-1.2;1.66;-0.36;5.56;4.13;20,76%;17,89%;5,26%;0.56;11,53%;9,01%;284920.0;5606640000.0;1.19;1,83%
SAPR4;7.88;5.73;0.96;1.653;5,07%;0.45;9.94;6.06;-1.73;6.97;5.29;56,27%;27,26%;28,86%;1.2;9,65%;16,84%;13356200.0;12347800000.0;0.14;8,75%
PLPL3;10.19;5.74;2.03;0.633;4,84%;0.49;0.97;2.49;3.44;2.46;2.4;31,09%;25,46%;12,88%;2.38;35,55%;35,38%;54529900.0;1023200000.0;-0.02;27,73%
RNPT4;31.81;5.74;0.39;0.467;0,00%;0.379;57.01;56.1;57.01;56.05;56.05;46,34%;0,83%;8,13%;1.38;0,68%;6,72%;0.0;63944000.0;0.00;4,85%
PETR4;49.08;5.74;1.52;1.271;6,47%;0.517;-10.84;3.21;-0.95;4.9;3.43;47,63%;39,64%;22,23%;0.71;17,43%;26,49%;2697400000.0;415786000000.0;0.80;-0,78%
RNPT3;31.87;5.75;0.39;0.468;0,00%;0.38;57.12;56.21;57.12;56.15;56.15;46,34%;0,83%;8,13%;1.38;0,68%;6,72%;0.0;63944000.0;0.00;4,85%
TRIS3;4.87;5.8;0.82;0.857;17,59%;0.344;0.61;6.23;1.23;8.97;7.8;29,34%;13,75%;15,46%;2.97;6,67%;14,06%;2916390.0;1449540000.0;0.36;18,84%
FRAS4;5.79;5.86;0.66;0.296;0,00%;0.225;0.81;2.19;-1.23;4.1;3.01;32,71%;13,51%;5,16%;2.41;14,09%;11,26%;0.0;2459830000.0;0.58;19,35%
FIGE4;38.01;5.88;0.48;0.0;0,00%;0.0;0.0;0.0;0.0;0.0;0.0;0,00%;0,00%;0,00%;0.0;0,00%;8,18%;0.0;186727000.0;0.00;48,02%
SAPR11;40.54;5.89;0.99;1.7;4,84%;0.463;10.23;6.24;-1.78;7.15;5.42;56,27%;27,26%;28,86%;1.2;9,65%;16,84%;100025000.0;12347800000.0;0.14;8,75%
NUTR3;2.41;5.93;0.63;0.148;0,00%;0.246;1.0;-63.71;4.65;-101.34;130.85;13,83%;-0,23%;2,49%;1.59;-0,48%;10,66%;8046.05;50539000.0;0.37;12,50%
CEAB3;11.32;5.94;0.94;0.437;4,61%;0.374;2.42;3.63;-3.32;3.54;2.61;55,52%;12,04%;7,35%;1.46;14,72%;15,84%;105259000.0;3707050000.0;-0.02;11,48%
RECV3;12.96;5.96;0.88;1.205;14,85%;0.439;2.47;4.87;-1.75;6.76;3.52;32,35%;24,75%;20,22%;3.48;11,53%;14,74%;58463100.0;4330720000.0;0.34;26,02%
COCE6;35.0;5.98;0.54;0.315;0,00%;0.181;-1.27;1.76;-0.38;5.66;4.21;20,76%;17,89%;5,26%;0.56;11,53%;9,01%;0.0;5606640000.0;1.19;1,83%
CAMB3;9.7;6.0;1.34;1.07;11,36%;1.099;2.99;6.49;3.46;5.45;4.48;48,89%;16,50%;17,85%;3.81;21,80%;22,38%;269587.0;305569000.0;-0.21;9,73%
RSUL4;64.08;6.04;1.42;0.925;3,92%;0.858;2.37;4.08;4.92;3.45;3.21;42,01%;22,71%;15,33%;2.74;27,59%;23,52%;151436.0;274006000.0;-0.22;5,06%
TIET11;17.44;6.09;3.13;3.01;0,00%;0.638;1434.52;5.02;-1.05;8.78;6.62;74,66%;59,93%;49,91%;1.0;13,97%;51,45%;0.0;2222740000.0;2.34;7,76%
TIET3;3.49;6.09;3.13;3.012;0,00%;0.638;1435.34;5.03;-1.05;8.78;6.63;74,66%;59,93%;49,91%;1.0;13,97%;51,45%;0.0;2222740000.0;2.34;7,76%
CEEB5;43.5;6.09;1.41;0.596;13,32%;0.302;4.77;2.57;-0.54;6.77;5.45;28,41%;23,19%;9,79%;1.39;13,38%;23,08%;1107.98;8110000000.0;2.30;6,86%
TIET4;3.51;6.13;3.15;3.029;0,00%;0.642;1443.57;5.06;-1.05;8.81;6.65;74,66%;59,93%;49,91%;1.0;13,97%;51,45%;0.0;2222740000.0;2.34;7,76%
